time,z_normalized
0.05,0.017847896514275652
0.05,0.029926729687994147
0.05,0.040740859540032925
0.05,0.05008408444185797
0.05,0.057718126956051385
0.053,0.06367048063308456
0.053,0.06727213574482316
0.051,0.0683718777636746
0.05,0.06714841476770217
0.05,0.06368422740832025
0.05,0.058075543112177996
0.05,0.050111577992329126
0.05,0.03920580297205278
0.05,0.024959561569514843
0.05,0.00699710859494207
0.05,-0.014851099512906085
0.05,-0.04056673372038144
0.05,-0.06987944078118369
0.05,-0.1022530964611218
0.05,-0.1368537297292346
0.05,-0.17260450985872922
0.05,-0.2082407335279265
0.05,-0.24241979902214628
0.05,-0.27388158527812034
0.05,-0.3015721728611165
0.05,-0.32447430040369685
0.05,-0.3411033161804127
0.05,-0.3497454555452204
0.05,-0.3487785990203135
0.05,-0.33822565789775183
0.05,-0.3229209148020695
0.05,-0.3055266618705694
0.05,-0.2873580072674622
0.05,-0.269514693011598
0.05,-0.25278028529140883
0.051,-0.23748928897096233
0.05,-0.22425114441903848
0.05,-0.21217231124532066
0.05,-0.19973147965706384
0.05,-0.1862046528251915
0.05,-0.17159641300811534
0.05,-0.15636040378861116
0.05,-0.14112439456910764
0.05,-0.12648407894314795
0.05,-0.11290226501033329
0.05,-0.10065388827537569
0.05,-0.08984434068174851
0.05,-0.08038655931962657
0.05,-0.07198269739223673
0.05,-0.06411954195744918
0.05,-0.05638468975819422
0.05,-0.048434471413580815
0.05,-0.0399985336773081
0.05,-0.030765282977368247
0.05,-0.020514770909990876
0.05,-0.0092378329583519
0.05,0.002900569574720402
0.05,0.015588843117218643
0.05,0.028442077962544277
0.05,0.04106619988727611
0.05,0.0530854637016398
0.05,0.06418827583362718
0.05,0.07417759917152744
0.05,0.08297553532233892
0.05,0.0906370713870035
0.05,0.09732258640993785
0.05,0.10327494008697102
0.05,0.10879197921487593
0.05,0.11418529736565919
0.05,0.11974815907768299
0.05,0.12572800630518732
0.05,0.13231271164306024
0.05,0.13960308477636274
0.05,0.1476495305476253
0.05,0.15642913766478928
0.05,0.16590524806055895
0.05,0.17599079882510882
0.05,0.18656665123972993
0.05,0.19745867948477058
0.05,0.20845609967328516
0.05,0.21932063436785443
0.05,0.22983691742312096
0.05,0.2397758359184905
0.05,0.24853253174359513
0.05,0.25474607415010553
0.05,0.2573992017705844
0.05,0.255987866179725
