t,x,y,z
0.050, -10234.454, -2478.380, 861.954
0.050, -10238.609, -2476.301, 863.458
0.050, -10242.551, -2473.841, 864.753
0.050, -10246.253, -2471.005, 865.819
0.050, -10249.710, -2467.804, 866.635
0.050, -10252.937, -2464.258, 867.182
0.050, -10255.967, -2460.397, 867.440
0.050, -10258.847, -2456.258, 867.390
0.050, -10261.637, -2451.894, 867.008
0.050, -10264.383, -2447.404, 866.174
0.050, -10267.126, -2442.917, 864.707
0.050, -10269.916, -2438.545, 862.459
0.050, -10272.807, -2434.374, 859.327
0.050, -10275.863, -2430.464, 855.262
0.050, -10279.157, -2426.846, 850.275
0.050, -10282.772, -2423.523, 844.442
0.050, -10286.799, -2420.467, 837.900
0.050, -10291.333, -2417.626, 830.846
0.050, -10296.462, -2414.929, 823.520
0.050, -10302.256, -2412.292, 816.187
0.050, -10308.756, -2409.624, 809.122
0.050, -10315.960, -2406.832, 802.579
0.050, -10323.822, -2403.830, 796.769
0.050, -10332.223, -2400.585, 791.862
0.050, -10340.947, -2397.221, 788.032
0.050, -10349.667, -2394.046, 785.480
0.050, -10358.000, -2391.485, 784.390
0.050, -10365.581, -2389.990, 784.887
0.050, -10372.097, -2389.968, 786.841
0.050, -10377.333, -2391.774, 789.412
0.050, -10381.243, -2395.480, 792.037
0.050, -10383.903, -2400.967, 794.484
0.050, -10385.431, -2408.097, 796.634
0.050, -10385.995, -2416.656, 798.491
0.050, -10385.870, -2426.214, 800.215
0.050, -10385.369, -2436.238, 801.978
0.050, -10384.805, -2446.160, 803.912
0.050, -10384.453, -2455.426, 806.090
0.050, -10384.513, -2463.556, 808.520
0.050, -10385.089, -2470.190, 811.152
0.050, -10386.194, -2475.115, 813.913
0.050, -10387.806, -2478.366, 816.791
0.050, -10389.855, -2480.175, 819.788
0.050, -10392.206, -2480.875, 822.883
0.050, -10394.675, -2480.858, 826.042
0.050, -10397.053, -2480.517, 829.216
0.050, -10399.134, -2480.201, 832.350
0.050, -10400.740, -2480.172, 835.385
0.050, -10401.726, -2480.581, 838.247
0.050, -10402.002, -2481.455, 840.883
0.050, -10401.524, -2482.711, 843.243
0.050, -10400.293, -2484.160, 845.282
0.050, -10398.348, -2485.547, 846.948
0.053, -10395.584, -2486.614, 848.247
0.053, -10392.158, -2486.934, 849.033
0.051, -10388.428, -2486.282, 849.273
0.050, -10384.214, -2484.461, 849.006
0.050, -10379.675, -2481.406, 848.250
0.050, -10374.794, -2477.056, 847.026
0.050, -10369.618, -2471.476, 845.288
0.050, -10364.174, -2464.779, 842.908
0.050, -10358.528, -2457.176, 839.799
0.050, -10352.680, -2448.819, 835.879
0.050, -10346.626, -2439.869, 831.111
0.050, -10340.338, -2430.467, 825.499
0.050, -10333.763, -2420.739, 819.102
0.050, -10326.822, -2410.803, 812.037
0.050, -10319.410, -2400.778, 804.486
0.050, -10311.401, -2390.792, 796.684
0.050, -10302.667, -2380.987, 788.907
0.050, -10293.092, -2371.522, 781.448
0.050, -10282.597, -2362.565, 774.582
0.050, -10271.164, -2354.291, 768.539
0.050, -10258.921, -2346.958, 763.541
0.050, -10246.258, -2341.061, 759.912
0.050, -10233.649, -2337.212, 758.026
0.050, -10221.904, -2336.073, 758.237
0.050, -10211.445, -2338.100, 760.540
0.050, -10202.639, -2343.681, 763.880
0.050, -10195.618, -2352.339, 767.676
0.050, -10190.465, -2363.383, 771.641
0.050, -10187.169, -2376.243, 775.535
0.050, -10185.637, -2390.474, 779.187
0.051, -10185.704, -2405.927, 782.524
0.050, -10187.122, -2421.973, 785.413
0.050, -10189.453, -2438.359, 788.049
0.050, -10192.037, -2454.298, 790.764
0.050, -10194.273, -2469.038, 793.716
0.050, -10195.697, -2482.007, 796.904
0.050, -10196.026, -2492.879, 800.229
0.050, -10195.166, -2501.605, 803.554
0.050, -10193.197, -2508.384, 806.749
0.050, -10190.335, -2513.610, 809.713
0.050, -10186.885, -2517.816, 812.386
0.050, -10183.200, -2521.599, 814.745
0.050, -10179.629, -2525.548, 816.809
0.050, -10176.505, -2530.139, 818.643
0.050, -10174.130, -2535.633, 820.359
0.050, -10172.740, -2542.116, 822.047
0.050, -10172.481, -2549.523, 823.782
0.050, -10173.421, -2557.667, 825.623
