Boat_Position_Z,Boat_Velocity_Z,Load_Position_Z,Load_Velocity_Z,Target_Load_Position_Z,Target_Load_Velocity_Z,Action,Winch_Velocity,Reward
-0.04255987582973003,-0.15107236171295654,16.748937343729352,-0.005437921034996407,23.99949999999986,-0.23,0.14304707944393158,0.14304707944393158,-52.62108695981351
-0.05095250734072293,-0.16785263021985794,16.749475385952884,0.01076084447063863,23.987999999999857,-0.23,0.14304690062999725,0.14304690062999725,-52.454204372394095
-0.06022185648218481,-0.1853869828292376,16.750883346423173,0.028159209405771435,23.976499999999856,-0.23,0.14304669201374054,0.14304669201374054,-52.276182201845714
-0.07038536727493933,-0.20327021585509028,16.75320074920237,0.04634805558396238,23.964999999999854,-0.23,0.14304649829864502,0.14304649829864502,-52.08641668162818
-0.0814379856944904,-0.22105236839102163,16.756443427589943,0.06485356775144169,23.953499999999853,-0.23,0.1430463045835495,0.1430463045835495,-51.88456193288443
-0.09335104415683859,-0.23826116924696372,16.760601431804403,0.0831600842892044,23.94199999999985,-0.23,0.1430460810661316,0.1430460810661316,-51.67055463367165
-0.10607234651932829,-0.25442604724979373,16.765638239500674,0.10073615392542479,23.93049999999985,-0.23,0.14304585754871368,0.14304585754871368,-51.44463045057672
-0.11952748636076589,-0.26910279682875204,16.771491381770176,0.11706284539002354,23.918999999999848,-0.23,0.14304566383361816,0.14304566383361816,-51.207332066317655
-0.1336223831595049,-0.2818979359747798,16.77807451120576,0.13166258871166292,23.907499999999846,-0.23,0.14304552972316742,0.14304552972316742,-50.95950762834043
-0.14824696876785987,-0.2924917121670996,16.785280859297274,0.14412696183029539,23.895999999999844,-0.23,0.1430453509092331,0.1430453509092331,-50.702297681522275
-0.1632798994426145,-0.30065861349509265,16.792987912704135,0.15414106813722128,23.884499999999843,-0.23,0.14304517209529877,0.14304517209529877,-50.437108044490735
-0.1785941069631141,-0.30628415040999185,16.801063100098382,0.16150374788495014,23.87299999999984,-0.23,0.14304503798484802,0.14304503798484802,-50.16556670079582
-0.19406293818853565,-0.30937662450843134,16.809370191740896,0.16614183285028616,23.86149999999984,-0.23,0.14304493367671967,0.14304493367671967,-49.8894631842683
-0.20956657017236419,-0.3100726396765708,16.817776069055135,0.16811754628477615,23.849999999999838,-0.23,0.14304481446743011,0.14304481446743011,-49.61067099561118
-0.22499833438768319,-0.30863528430637993,16.826157493397552,0.16762848684834353,23.838499999999836,-0.23,0.14304471015930176,0.14304471015930176,-49.3310558434545
-0.24027054724390648,-0.30544425712446566,16.834407498922154,0.16500011049203067,23.826999999999835,-0.23,0.14304466545581818,0.14304466545581818,-49.05237497341653
-0.2553194339823915,-0.30097773476970036,16.842441026821326,0.1606705579834511,23.815499999999833,-0.23,0.143044576048851,0.143044576048851,-48.77617492830039
-0.2701087570119658,-0.29578646059148617,16.850199399010677,0.15516744378700764,23.80399999999983,-0.23,0.14304451644420624,0.14304451644420624,-48.50369675807055
-0.28463182210643445,-0.29046130188937325,16.857653318069794,0.14907838118233485,23.79249999999983,-0.23,0.14304445683956146,0.14304445683956146,-48.23579892095585
-0.2989116356017928,-0.2855962699071669,16.864804094249685,0.14301552359782477,23.78099999999983,-0.23,0.1430443972349167,0.1430443972349167,-47.97290638756001
-0.3129991154730551,-0.28174959742524575,16.871682931663898,0.13757674828426047,23.769499999999827,-0.23,0.1430443376302719,0.1430443376302719,-47.7149929741057
-0.3269694058348329,-0.27940580723555697,16.878348234464156,0.13330605600515355,23.757999999999825,-0.23,0.14304423332214355,0.14304423332214355,-47.46159970536807
-0.3409164912050815,-0.2789417074049712,16.884881040617984,0.13065612307656238,23.746499999999823,-0.23,0.1430441439151764,0.1430441439151764,-47.21188758286094
-0.3549464365581627,-0.28059890706162405,16.891378875217562,0.12995669199156623,23.734999999999822,-0.23,0.14304403960704803,0.14304403960704803,-46.96471891967551
-0.36916967759625546,-0.28446482076185514,16.897948419933982,0.13139089432840478,23.72349999999982,-0.23,0.14304384589195251,0.14304384589195251,-46.718757750642744
-0.3836928444364092,-0.29046333680307546,16.90469748995178,0.1349814003559402,23.71199999999982,-0.23,0.1430436223745346,0.1430436223745346,-46.47257888591212
-0.3986106197259122,-0.2983555057900603,16.911726861071287,0.14058742239015487,23.700499999999817,-0.23,0.14304353296756744,0.14304353296756744,-46.22477576947131
-0.41399811415082016,-0.3077498884981584,16.919122487231128,0.14791252319682258,23.688999999999815,-0.23,0.14304326474666595,0.14304326474666595,-45.974059413080134
-0.42990419774321237,-0.3181216718478437,16.926948481230944,0.1565198799963241,23.677499999999814,-0.23,0.14304304122924805,0.14304304122924805,-45.719343425185066
-0.4463461650011652,-0.3288393451590562,16.935241321498275,0.16585680534660696,23.665999999999812,-0.23,0.14304281771183014,0.14304281771183014,-45.45981499856298
-0.4633060447505617,-0.33919759498793045,16.944005522755305,0.1752840251405985,23.65449999999981,-0.23,0.14304254949092865,0.14304254949092865,-45.19499127016318
-0.48072879739454705,-0.34845505287970674,16.95321100167248,0.18410957834348096,23.64299999999981,-0.23,0.14304234087467194,0.14304234087467194,-44.924763585017196
-0.4985225736092356,-0.35587552429377056,16.962792336436806,0.1916266952865442,23.631499999999807,-0.23,0.14304213225841522,0.14304213225841522,-44.64943097224216
-0.5165611362136857,-0.3607712520890035,16.972650028397233,0.19715383920853924,23.619999999999806,-0.23,0.1430419236421585,0.1430419236421585,-44.36972204731532
-0.5346884644438311,-0.3625465646029089,16.982653864108535,0.2000767142260429,23.608499999999804,-0.23,0.14304174482822418,0.14304174482822418,-44.08680299662473
-0.5527254599767358,-0.36073991065809524,16.992648387425632,0.19989046634194096,23.596999999999802,-0.23,0.14304161071777344,0.14304161071777344,-43.80226603556273
-0.5704785515198835,-0.3550618308629535,17.00246037131302,0.1962396777477693,23.5854999999998,-0.23,0.14304150640964508,0.14304150640964508,-43.5180910157471
-0.5877498492266917,-0.345425954136164,17.011908012288757,0.18895281951472498,23.5739999999998,-0.23,0.14304152131080627,0.14304152131080627,-43.2365727201608
-0.6043483387429994,-0.33196979032615437,17.02081141214802,0.17806799718528055,23.562499999999797,-0.23,0.1430414766073227,0.1430414766073227,-42.96020907075698
-0.6201014434679543,-0.31506209449909567,17.029003643327307,0.1638446235857316,23.550999999999796,-0.23,0.14304152131080627,0.14304152131080627,-42.69155006397661
