Boat_Position_Z,Boat_Velocity_Z,Load_Position_Z,Load_Velocity_Z,Target_Load_Position_Z,Target_Load_Velocity_Z,Action,Winch_Velocity,Reward
-0.6997386279704554,-0.2740163151410926,25.010524974258345,-2.742171509986804,25,0,3.0,3.0,12.480384634733554
-0.7121984713196949,-0.24919686698479201,24.87212452777218,-2.7680089297233224,25,0,3.0,3.0,12.321774428574459
-0.7234373574388586,-0.22477772238327426,24.732470395180435,-2.7930826518348795,25,0,3.0,3.0,12.127117210564125
-0.7335285608113475,-0.20182406744977843,24.5916553020924,-2.816301861760735,25,0,3.0,3.0,11.901698431133768
-0.7425939629684654,-0.1813080431423571,24.449821181643237,-2.836682408983222,25,0,3.0,3.0,-8.349463821603301
-0.7507957143050757,-0.16403502673220682,24.307150122476664,-2.853421183331477,25,0,3.0,3.0,-8.62205340226891
-0.7583248399595679,-0.15058251308984272,24.16385222450679,-2.8659579593974627,25,0,3.0,3.0,-8.91285812749591
-0.7653876931936524,-0.14125706468168955,24.020151292794992,-2.8740186342359664,25,0,3.0,3.0,-9.220086598946896
-0.7721913150025533,-0.13607243617801842,23.87626948403365,-2.877636175226854,25,0,3.0,3.0,-9.54356022948824
-0.7789287871984198,-0.1347494439173309,23.73241206273272,-2.8771484260185787,25,0,3.0,3.0,-9.884762244046701
-0.7857655852967491,-0.13673596196658583,23.588753335167723,-2.8731745512999396,25,0,3.0,3.0,-10.246749151237832
-0.7928277821658053,-0.1412439373811236,23.445424644915448,-2.8665738050455047,25,0,3.0,3.0,-10.633949914409323
-0.8001927640479687,-0.1472996376432685,23.302505084721382,-2.8583912038813253,25,0,3.0,3.0,-11.051889261822895
-0.8078829318065689,-0.1538033551720045,23.160015354422214,-2.8497946059833623,25,0,3.0,3.0,-11.506872792253878
-0.8158626932465561,-0.15959522879974558,23.01791500792435,-2.8420069299572503,25,0,3.0,3.0,-12.005664305736559
-0.8240389123161211,-0.16352438139130118,22.87610319563823,-2.836236245722432,25,0,3.0,3.0,-12.555173677127817
-0.8322648590766517,-0.16451893521061203,22.734422910955473,-2.83360569365513,25,0,3.0,3.0,-13.162160773518242
-0.8403475825124793,-0.16165446871655242,22.592668661747062,-2.835084984168219,25,0,3.0,3.0,-13.83295103959079
-0.8480584858457577,-0.15421806666556898,22.45059737536929,-2.841425727555418,25,0,3.0,3.0,-14.573153907687782
-0.8551467047684312,-0.14176437845347048,22.307942179591805,-2.853103915549724,25,0,3.0,3.0,-15.387377261346085
-0.8613546680098683,-0.12415926482874114,22.16442847180179,-2.8702741558002742,25,0,3.0,3.0,-16.2789396209833
-0.8664349691036326,-0.10160602187528578,22.019791410562853,-2.8927412247787743,25,0,3.0,3.0,-17.24959503008955
-0.8701674302148421,-0.0746492222241893,21.87379368042056,-2.91995460284582,25,0,3.0,3.0,-18.299300835258908
-0.872375043428415,-0.04415226427145856,21.726242156940863,-2.9510304695939737,25,0,3.0,3.0,-19.42607124746324
-0.8729373911153822,-0.011246953739342758,21.57700200488054,-2.9848030412064475,25,0,3.0,3.0,-20.625964469387092
-0.8718002278322691,0.02274326566226207,21.426006835015357,-3.019903397303665,25,0,3.0,3.0,-21.89324367240316
-0.8689801795966623,0.05640096471213581,21.27326384731598,-3.054859753987529,25,0,3.0,3.0,-23.22073046825483
-0.8645639693208573,0.08832420551609937,21.118853374827744,-3.088209449764747,25,0,3.0,3.0,-24.600336731702278
-0.858702150360975,0.11723637919764732,20.96292284044319,-3.1186106876910458,25,0,3.0,3.0,-26.023724613596087
-0.8515979281089235,0.14208444504102907,20.805675742084333,-3.144941967177175,25,0,3.0,3.0,-27.483015957452054
-0.8434921652599228,0.16211525698001522,20.647356781377447,-3.16637921413772,25,0,3.0,3.0,-28.971460316344306
-0.8346460116300269,0.17692307259791684,20.488234565348883,-3.1824443205712782,25,0,3.0,3.0,-30.48397919084897
-0.82532272925501,0.18646564750033837,20.328583408352287,-3.19302313993191,25,0,3.0,3.0,-32.017529744862166
-0.8157702051153083,0.1910504827940345,20.16866566402333,-3.1983548865791533,25,0,3.0,3.0,-33.571265446491886
-0.8062054073620143,0.19129595506587915,20.008715784739223,-3.198997585682122,25,0,3.0,3.0,-35.146503670711425
-0.7968017183952554,0.18807377933517905,19.848927012340795,-3.195775447968572,25,0,3.0,3.0,-36.74653363803106
-0.7876797399751527,0.18243956840205233,19.689441311245865,-3.1897140218985953,25,0,3.0,3.0,-38.37630912819855
-0.7789018631970164,0.17555753556272807,19.53034290048145,-3.1819682152882933,25,0,3.0,3.0,-40.04207050941864
-0.7704706549188691,0.16862416556294588,19.371655534055762,-3.1737473285137696,25,0,3.0,3.0,-41.75093353257342
-0.7623309331109144,0.1627944361590956,19.213343509318356,-3.1662404947481093,25,0,3.0,3.0,-43.51047221173075
-0.7543752709097248,0.15911324402379234,19.05531623249849,-3.160545536397308,25,0,3.0,3.0,-45.32831318323688
-0.7464525598819425,0.15845422055564587,18.897436023879436,-3.157604172381099,25,0,3.0,3.0,-47.21175119208295
-0.7383791554135485,0.1614680893678794,18.739528694705854,-3.1581465834716482,25,0,3.0,3.0,-49.167390807105036
-0.7299520075083334,0.1685429581043015,18.58139627600479,-3.162648374021302,25,0,3.0,3.0,-51.20081850338478
-0.7209630472124595,0.17977920591747945,18.42283113580789,-3.1713028039379765,25,0,3.0,3.0,-53.316311742363006
-0.711213965111107,0.1949816420270496,18.26363060074663,-3.1840107012251906,25,0,3.0,3.0,-55.51659682871374
-0.7005304094498037,0.21367111322606555,18.103611118658904,-3.2003896417545263,25,0,3.0,3.0,-57.80267346173476
-0.6887745810159746,0.23511656867658387,17.942620979858376,-3.2198027760105674,25,0,3.0,3.0,-60.173728550340506
-0.6758552432359695,0.25838675560010216,17.780550673692012,-3.241406123327266,25,0,3.0,3.0,-62.627162231472354
-0.6617343213524707,0.2824184376699761,17.617340105620144,-3.2642113614373613,25,0,3.0,3.0,-65.15874292822154
-0.6464295355626398,0.3060957157966171,17.45298213842863,-3.287159343830268,25,0,3.0,3.0,-67.76289515460792
-0.6300128747867454,0.32833321551788935,17.28752223317295,-3.309198105113609,25,0,3.0,3.0,-70.43310540268905
-0.6126051211919329,0.3481550718962493,17.121054317580082,-3.329358311857362,25,0,3.0,3.0,-73.16241183525716
-0.5943670176832815,0.3647620701730285,16.953713355606382,-3.3468192394740015,25,0,3.0,3.0,-75.94392778546045
-0.5754879702043468,0.3775809495786926,16.785665382138568,-3.3609594693562883,25,0,3.0,3.0,-78.77134176885242
-0.5561733506262505,0.3862923915619276,16.617095960275044,-3.3713884372704683,25,0,3.0,3.0,-81.639340134198
-0.5366314990333886,0.39083703185723895,16.44819809198942,-3.3779573657125184,25,0,3.0,3.0,-84.54391183842488
-0.5170614302073607,0.3914013765205575,16.279160565258614,-3.3807505346160838,25,0,3.0,3.0,-87.48251462384738
-0.49764206351954926,0.3883873337562293,16.11015757152967,-3.3800598745789046,25,0,3.0,3.0,-90.45410315876964
-0.4785235629878412,0.38237001063416054,15.941340210694378,-3.376347216705824,25,0,3.0,3.0,-93.45903770613975
-0.45982113668884184,0.37404852597998706,15.772830256657251,-3.3701990807425375,25,0,3.0,3.0,-96.49890331629774
-0.44161143239303186,0.3641940859162001,15.604716323207647,-3.362278668992076,25,0,3.0,3.0,-99.57627321535995
