Position_X,Position_Y,Position_Z,Orientation_Roll,Orientation_Pitch,Orientation_Yaw,Angular_Velocity_Roll,Angular_Velocity_Pitch,Angular_Velocity_Yaw,Load_Position_X,Load_Position_Y,Load_Position_Z,Wave_Height,Load_Velocity_Z,Buoyant_Force_1_X,Buoyant_Force_1_Y,Buoyant_Force_2_X,Buoyant_Force_2_Y
0.0,0.0,-0.7298796789482701,-7.89004876584668e-05,0.0015418914321041182,0.0,0.011446962069551422,-0.004232365678428272,0.0,15.0,0.0,25.18994110507922,-0.29504465798199697,-0.34536444093544955,10485.848397480693,10460.859774614324,10432.265676135356,10407.27705326899
0.0,0.0,-0.7462974118802852,0.0003395923502142574,0.0013010420356530511,0.0,0.008369856757454483,-0.0048169879290213425,0.0,15.0,0.0,25.20536642956754,-0.3105951151995692,-0.32835465864030144,10529.326824793543,10491.233171956752,10487.349612505815,10449.25595966902
0.0,0.0,-0.7617457411573799,0.0005670808865484962,0.001040257831007862,0.0,0.004549770726684775,-0.005215684092903782,0.0,15.0,0.0,25.219780005867477,-0.32567428828859957,-0.30896658554189416,10560.49184284573,10513.200322270133,10531.864556293132,10484.573035717536
0.0,0.0,-0.7761326764150236,0.0005859398840759374,0.0007696470693886769,0.0,0.00037717995054882547,-0.005412215232383704,0.0,15.0,0.0,25.2331147374532,-0.34025929673812927,-0.28773870515287425,10576.766441933847,10525.111028662459,10562.65506435188,10510.999651080494
0.0,0.0,-0.7893993525506232,0.00039983945549572234,0.0004996918965357465,0.0,-0.003722008571604302,-0.005399103457058607,0.0,15.0,0.0,25.24533780883101,-0.35432800986202306,-0.2653335227119922,10576.498226344083,10525.751522677847,10577.439681065063,10526.692977398827
0.0,0.0,-0.8015242031575083,3.3366058820010554e-05,0.00024079411165127884,0.0,-0.007329467933514235,-0.005177955697689353,0.0,15.0,0.0,25.256453780024934,-0.3678590803792935,-0.2424970121377004,10559.122727608903,10514.463492718853,10575.001625939707,10530.342391049651
0.0,0.0,-0.8125246440525922,-0.00047046879166761214,2.8244985106866004e-06,0.0,-0.010076697009752453,-0.004759392262811845,0.0,15.0,0.0,25.26650510264364,-0.3808319768055188,-0.22000881790167767,10525.247919783566,10491.238076621199,10555.301695058992,10521.291851896622
0.0,0.0,-0.8224560030965499,-0.0010545805865170457,-0.00020530466318828823,0.0,-0.01168223589698867,-0.0041625832339794964,0.0,15.0,0.0,25.275569857451224,-0.3932270146063812,-0.19862718087915435,10476.649525485218,10456.773450843997,10519.501729943171,10499.625655301947
0.0,0.0,-0.8314076743012896,-0.0016535852393197304,-0.00037602530092552673,0.0,-0.011980093056053694,-0.0034144127547447696,0.0,15.0,0.0,25.283756795033163,-0.40502538606634697,-0.17903342409479472,10416.174614778354,10412.487233591464,10469.894930242925,10466.207549056035
0.0,0.0,-0.8394967277742137,-0.002200410862830976,-0.0005034406755714487,0.0,-0.010936512470224908,-0.002548307492918439,0.0,15.0,0.0,25.29119802961818,-0.4162091888265405,-0.1617810694584814,10347.559515245961,10360.478737142144,10409.747865668156,10422.667087564338
0.0,0.0,-0.8468594375670169,-0.0026330801961879373,-0.0005835796896758371,0.0,-0.008653386667139232,-0.0016027802820877688,0.0,15.0,0.0,25.298039947730985,-0.4267614530491263,-0.14725419585606414,10275.17608293806,10303.440542819066,10343.067187365448,10371.331647246454
0.0,0.0,-0.8536413667585719,-0.0029009787580820973,-0.0006145673126229374,0.0,-0.005357971237883204,-0.000619752458942005,0.0,15.0,0.0,25.304433021924467,-0.4366661671666081,-0.13563858383110128,10203.726897373492,10244.523264581147,10274.310711910408,10315.107079118063
