Position_X,Position_Y,Position_Z,Orientation_Roll,Orientation_Pitch,Orientation_Yaw,Angular_Velocity_Roll,Angular_Velocity_Pitch,Angular_Velocity_Yaw,Load_Position_X,Load_Position_Y,Load_Position_Z,Wave_Height,Load_Velocity_Z,Buoyant_Force_1_X,Buoyant_Force_1_Y,Buoyant_Force_2_X,Buoyant_Force_2_Y
0.0,0.0,-0.34976356980369744,0.0003956193865201895,-0.0002675446859465517,0.0,0.005182280822942304,-0.0035405896035889317,0.0,15.0,0.0,24.816440325690728,0.02272524965411646,-0.11995768567019705,9161.151263653064,9191.5084150272,9036.912961751914,9067.27011312605
0.0,0.0,-0.35633214107197764,0.000750858487418851,-0.0005231849478765131,0.0,0.007104782017973231,-0.005112805238599228,0.0,15.0,0.0,24.8223855470318,0.043743266511887854,-0.13137142536560395,9834.25680417187,9858.056774189998,9721.3682538721,9745.168223890227
0.0,0.0,-0.36175990129575,0.0011658266265844469,-0.0008459742136257109,0.0,0.008299362783311918,-0.006455785314983957,0.0,15.0,0.0,24.827032998469413,0.06469490915374879,-0.10855520447544659,10518.717690136955,10533.506234943028,10422.28872916974,10437.077273975814
0.0,0.0,-0.36438652607187094,0.0015978912194534534,-0.0012213917785276198,0.0,0.00864129185738013,-0.007508351298038179,0.0,15.0,0.0,24.828799321797817,0.08554838642729388,-0.05253249552241923,11170.856294016448,11175.089274077234,11095.279665090628,11099.512645151417
0.0,0.0,-0.36272358831736096,0.0020024889977861768,-0.001632490721948781,0.0,0.00809195556665447,-0.008221978868423222,0.0,15.0,0.0,24.826275349839314,0.10627205613217072,0.03325875509019989,11748.294969929677,11741.494343623286,11697.05483859601,11690.25421228962
0.0,0.0,-0.3555836820282102,0.0023376271301718153,-0.0020606364273313684,0.0,0.006702762647712771,-0.00856291410765175,0.0,15.0,0.0,24.81834987918043,0.12683447303264056,0.14279812578301446,12213.009002368204,12195.811168378861,12188.529021309098,12171.331187319753
0.0,0.0,-0.34219898947904576,0.0025681250432751314,-0.0024863187560756114,0.0,0.004609958262066321,-0.008513646574884856,0.0,15.0,0.0,24.8043229882856,0.14720443657127313,0.2676938509832895,12534.589064604077,12508.680670934258,12538.126598894598,12512.218205224779
0.0,0.0,-0.32230572440578814,0.002669168610474728,-0.002890002512915322,0.0,0.00202087134399193,-0.008073675136794217,0.0,15.0,0.0,24.7839860812581,0.16735103821137665,0.3978653014651522,12693.234596091923,12661.182299937402,12724.825713972763,12692.773417818244
0.0,0.0,-0.2961731142745584,0.002628817853282139,-0.0032529791795856094,0.0,-0.0008070151438517867,-0.007259533333405741,0.0,15.0,0.0,24.75764799762458,0.18724370833632775,0.5226522026245954,12681.884522771054,12646.875896019155,12740.342145633462,12705.333518881567
0.0,0.0,-0.2645661661318457,0.002449215005755756,-0.0035581828477955664,0.0,-0.003592056950527659,-0.006104073364199138,0.0,15.0,0.0,24.726096808763096,0.20685226263463813,0.6321389628542537,12506.948342278069,12472.470088713997,12589.913632743182,12555.43537917911
