Boat_Position_Z,Boat_Velocity_Z,Load_Position_Z,Load_Velocity_Z,Target_Load_Position_Z,Target_Load_Velocity_Z,Action,Winch_Velocity,Reward
-0.6219428397410066,-0.10603148206924413,24.93526829954005,-2.9036760979226983,25.0,0.0,2.998034119606018,2.998034119606018,11.564474925307975
-0.6268392638399468,-0.09792848197880337,25.017167715368593,1.6379883165708975,25.0,0.0,-1.5533215999603271,-1.5533215999603271,17.316699544326262
-0.6316732400269848,-0.09667952374075874,25.019102701276715,0.03869971816243378,25.0,0.0,0.043326616287231445,0.043326616287231445,19.998137418618082
-0.6367744048050643,-0.10202329556159127,25.03126465089138,0.24323899229329982,25.0,0.0,-0.15699666738510132,-0.15699666738510132,19.93985731423278
-0.6424374401964761,-0.1132607078282366,25.040702087272315,0.18874872761870165,25.0,0.0,-0.09207254648208618,-0.09207254648208618,19.962717257913997
-0.6489028940805991,-0.12930907768245906,25.05021427828366,0.1902438202269252,25.0,0.0,-0.07794785499572754,-0.07794785499572754,19.961285815121915
-0.6563416174364737,-0.14877446711749215,25.05942501389363,0.18421471219937757,25.0,0.0,-0.05246955156326294,-0.05246955156326294,19.962533607533043
-0.6648433763896255,-0.17003517906303658,25.06842856028195,0.18007092776642253,25.0,0.0,-0.026647567749023438,-0.026647567749023438,19.96289199311108
-0.6744099406080779,-0.19133128436904626,25.07595170300791,0.1504628545191622,25.0,0.0,0.02511119842529297,0.02511119842529297,19.971592268220142
-0.6849527977615931,-0.21085714307030468,25.08257337791472,0.13243349813620853,25.0,0.0,0.06394314765930176,0.06394314765930176,19.97564300583116
-0.6962955752465178,-0.22685554969849292,25.08834602307074,0.11545290312042766,25.0,0.0,0.09858834743499756,0.09858834743499756,19.97886560736865
-0.708181222084381,-0.23771293675726476,25.093387653205795,0.1008326027010753,25.0,0.0,0.12607276439666748,0.12607276439666748,19.98111153246124
-0.7202839615801006,-0.24205478991439142,25.098652035163738,0.10528763915885975,25.0,0.0,0.1282435655593872,0.1282435655593872,19.979182288998405
-0.7322259136789073,-0.23883904197613584,25.103624152093126,0.09944233858774965,25.0,0.0,0.13335871696472168,0.13335871696472168,19.97937325639918
-0.7435980591674878,-0.2274429097716102,25.10764929346103,0.08050282735808878,25.0,0.0,0.14350318908691406,0.14350318908691406,19.981930924404693
-0.753984852013874,-0.20773585692772523,25.110102416335323,0.04906245748586002,25.0,0.0,0.15785837173461914,0.15785837173461914,19.985470333182572
-0.7629912934390961,-0.18012882850444248,25.110856765782252,0.015086988938577406,25.0,0.0,0.16676831245422363,0.16676831245422363,19.987483160245066
-0.770270722595797,-0.14558858313401768,25.111384070575888,0.010546095872712158,25.0,0.0,0.13912546634674072,0.13912546634674072,19.98748236868379
-0.7755510670610478,-0.1056068893050169,25.11133144619,-0.0010524877177431335,25.0,0.0,0.11280977725982666,0.11280977725982666,19.987604201358845
-0.7786569828400306,-0.06211831557965458,25.110822558400862,-0.010177755782763143,25.0,0.0,0.08012652397155762,0.08012652397155762,19.987614773836714
-0.7795253500511189,-0.017367344221765564,25.109895921753505,-0.01853273294713631,25.0,0.0,0.04493701457977295,0.04493701457977295,19.98757942419146
-0.7782120740945414,0.02626551913155075,25.10863657512928,-0.025186932484473346,25.0,0.0,0.008623838424682617,0.008623838424682617,19.987563712976204
-0.7748890612923431,0.06646025604396477,25.107135021215413,-0.030031078277374945,25.0,0.0,-0.02664470672607422,-0.02664470672607422,19.987620221566672
-0.7698314479099545,0.10115226764777303,25.105491787924848,-0.032864665811302984,25.0,0.0,-0.059017181396484375,-0.059017181396484375,19.98779139642153
-0.763396411548607,0.12870072722695017,25.103805227537777,-0.03373120774142535,25.0,0.0,-0.08678948879241943,-0.08678948879241943,19.988086680360134
-0.755995905368364,0.14801012360486032,25.10216644589375,-0.032775632880515104,25.0,0.0,-0.1086689829826355,-0.1086689829826355,19.988487775222723
-0.7480662179455291,0.15859374845670013,25.100653006085714,-0.030268796160726197,25.0,0.0,-0.12381595373153687,-0.12381595373153687,19.988952772344888
-0.7400373021980987,0.16057831494860642,25.099326363409766,-0.026532853518972388,25.0,0.0,-0.131927490234375,-0.131927490234375,19.98943028121593
-0.7323044118510498,0.15465780694097933,25.098226627887335,-0.021994710448609567,25.0,0.0,-0.13314396142959595,-0.13314396142959595,19.989867762286163
-0.7252039108222761,0.14201002057547396,25.097374670042583,-0.017039156895037877,25.0,0.0,-0.12811928987503052,-0.12811928987503052,19.990227840766405
-0.7189943829882943,0.12419055667963633,25.09676988160041,-0.01209576884349417,25.0,0.0,-0.1178351640701294,-0.1178351640701294,19.990489282391128
-0.713843529875487,0.103017062256145,25.096392531454867,-0.007547002910825995,25.0,0.0,-0.10358422994613647,-0.10358422994613647,19.990651522626788
-0.7098208902053368,0.08045279340300542,25.096206113815967,-0.0037283527780118675,25.0,0.0,-0.0868602991104126,-0.0868602991104126,19.99073048304999
-0.7068961612236502,0.05849457963373208,25.096158448467015,-0.0009533069790279569,25.0,0.0,-0.06922781467437744,-0.06922781467437744,19.99075264399422
-0.7049428061546079,0.039067101380845466,25.096188689092997,0.0006048125196400633,25.0,0.0,-0.05234026908874512,-0.05234026908874512,19.990747370292386
-0.7037466252392155,0.02392361830784795,25.096225388587122,0.0007339898824909596,25.0,0.0,-0.03766733407974243,-0.03766733407974243,19.99074013585011
-0.7030189733924178,0.014553036935954528,25.09619580397549,-0.0005916922326321128,25.0,0.0,-0.026630938053131104,-0.026630938053131104,19.99074601719781
