Wall time,Step,Value
1715594465.0998075,4096,-0.0018959034932777286
1715594470.7879395,6144,0.0014043113915249705
1715594476.6808023,8192,0.00041961052920669317
1715594493.4643173,10000,-0.0006591117125935853
1715594499.8402822,12288,-0.0001319991861237213
1715594505.513964,14336,-0.0015084703918546438
1715594511.2508376,16384,-0.004562287591397762
1715594517.0646966,18432,0.001051516504958272
1715594533.0815349,20000,0.15295785665512085
1715594539.7548234,22528,0.019206305965781212
1715594545.5991702,24576,-0.0023535487707704306
1715594551.1784663,26624,0.0008821529918350279
1715594556.8502707,28672,-0.0007958215428516269
1715594572.9149034,30000,0.025068163871765137
1715594580.0402014,32768,0.17224927246570587
1715594585.7460256,34816,0.0006068307557143271
1715594591.3734534,36864,-0.00026828813133761287
1715594597.0307686,38912,-7.466168608516455e-05
1715594612.4709892,40000,-5.092608716950053e-06
1715594620.0029588,43008,1.264546881429851e-06
1715594625.7383585,45056,3.149255690004793e-06
1715594631.4303648,47104,-0.0005410693702287972
1715594637.0878623,49152,-0.00011252502736169845
1715594651.9237523,50000,-3.268161526648328e-05
1715594660.0516994,53248,-1.4789242413826287e-05
1715594666.2722752,55296,6.6266088651900645e-06
1715594672.2276416,57344,-0.00046625942923128605
1715594678.0879197,59392,-1.9726489881577436e-06
1715594692.5937798,60000,1.2352558769634925e-05
1715594701.3782115,63488,-0.0012410571798682213
1715594707.0323205,65536,-0.0003802171559073031
1715594712.7278588,67584,-0.0006960275932215154
1715594718.370824,69632,-0.00018419271509628743
1715594732.2968788,70000,-6.225032120710239e-05
1715594741.5788078,73728,-0.0002134662208845839
1715594747.4881608,75776,-0.0004231065104249865
1715594753.6326466,77824,-6.659270729869604e-05
1715594759.3374908,79872,-0.0033111367374658585
1715594772.968414,80000,-5.521578714251518e-07
1715594782.364444,83968,-0.0018726418493315578
1715594788.099762,86016,-0.00018848589388653636
1715594793.7745538,88064,-0.0013279990525916219
1715594811.3737056,90000,-0.0006938085425645113
1715594817.437305,92160,-0.00043750833719968796
1715594823.1126025,94208,-0.002822960028424859
1715594828.8645964,96256,-0.0011235125130042434
1715594834.5390608,98304,-0.0014864442637190223
1715594851.0785124,100000,0.00017950835172086954
1715594857.4862375,102400,0.00039390134043060243
1715594863.4884095,104448,-0.00014203984756022692
1715594869.3971593,106496,0.10811885446310043
1715594875.2575886,108544,-0.0009619605843909085
1715594891.359574,110000,-0.0003534884308464825
1715594898.423573,112640,-0.0013423875207081437
1715594904.1270924,114688,-0.0010356083512306213
1715594909.8319385,116736,-0.0015663484809920192
1715594915.4739573,118784,0.001410200260579586
1715594931.0567603,120000,0.00022123393137007952
1715594938.5589345,122880,-0.0017960993573069572
1715594944.4068036,124928,-0.000496364722494036
1715594950.111718,126976,0.00013772443344350904
1715594955.815912,129024,-0.0003392862854525447
1715594971.4795043,130000,-0.001776740886271
1715594979.324932,133120,-0.0018686685943976045
1715594984.9516544,135168,-0.0011702844640240073
1715594990.7052293,137216,-0.00519620580598712
1715594996.4102886,139264,0.00021518950234167278
1715595011.556032,140000,-0.0012333918130025268
1715595019.8716488,143360,-0.004203888587653637
1715595025.6083343,145408,-0.00156673404853791
1715595031.391473,147456,9.558857709635049e-05
1715595037.0484824,149504,-0.0009344089776277542
1715595051.223656,150000,-0.0013610890600830317
1715595059.9444408,153600,-0.0024121785536408424
1715595065.76054,155648,2.6303701815777458e-05
1715595071.606968,157696,-0.0011393659515306354
1715595077.3897874,159744,-0.0018009754130616784
1715595091.1447487,160000,0.00013551811571232975
1715595100.3662746,163840,-0.001208010595291853
1715595106.0497513,165888,-0.00039721009670756757
1715595111.7149775,167936,-0.0001911397703224793
1715595117.4840722,169984,0.003864230588078499
1715595130.754783,170000,0.0006850668578408659
1715595140.6493294,174080,-0.0005275795701891184
1715595146.4955544,176128,-9.736898937262595e-05
1715595152.2012594,178176,-0.0018406769959256053
1715595169.2831633,180000,-8.61479711602442e-05
1715595175.5345314,182272,-0.002663316670805216
1715595181.2249877,184320,0.0003344733559060842
1715595186.9619317,186368,-0.00046709325397387147
1715595192.7295918,188416,0.0013927343534305692
1715595209.6247096,190000,-0.0005254417774267495
1715595216.2361774,192512,0.00010182338155573234
1715595221.9437218,194560,-0.0004146930587012321
1715595227.757276,196608,0.0002471514162607491
1715595233.4462957,198656,0.00031540682539343834
1715595249.2342265,200000,0.0005350810242816806
